Area Code,Area Name,IMD,INCOME,EMPLOYMENT,EDUCATION,HEALTH,CRIME,BARRIERS,LIVING
E09000001,City of London,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.3333
E09000002,Barking and Dagenham,0.0364,0.0455,0.0000,0.0000,0.0091,0.1455,0.9364,0.0364
E09000003,Barnet,0.0047,0.0142,0.0000,0.0000,0.0000,0.0237,0.2038,0.0237
E09000004,Bexley,0.0000,0.0068,0.0068,0.0068,0.0000,0.0205,0.1164,0.0000
E09000005,Brent,0.0578,0.0867,0.0462,0.0000,0.0000,0.1156,0.7746,0.0289
E09000006,Bromley,0.0051,0.0457,0.0051,0.0000,0.0000,0.0558,0.1015,0.0000
E09000007,Camden,0.0000,0.0827,0.0075,0.0000,0.0000,0.1128,0.0000,0.1429
E09000008,Croydon,0.0227,0.0636,0.0091,0.0136,0.0045,0.0545,0.3773,0.0636
E09000009,Ealing,0.0204,0.0663,0.0204,0.0000,0.0000,0.0765,0.4592,0.0408
E09000010,Enfield,0.0546,0.1311,0.0164,0.0055,0.0000,0.0383,0.6066,0.0273
E09000011,Greenwich,0.0066,0.0596,0.0199,0.0000,0.0066,0.0927,0.2980,0.0331
E09000012,Hackney,0.1111,0.1944,0.0347,0.0069,0.0208,0.2292,0.9375,0.1667
E09000013,Hammersmith and Fulham,0.0088,0.0708,0.0177,0.0000,0.0088,0.0619,0.0708,0.1416
E09000014,Haringey,0.0966,0.1310,0.0483,0.0000,0.0069,0.2552,0.3793,0.0690
E09000015,Harrow,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2774,0.0000
E09000016,Havering,0.0067,0.0267,0.0067,0.0267,0.0000,0.0400,0.0400,0.0000
E09000017,Hillingdon,0.0000,0.0062,0.0000,0.0000,0.0000,0.0683,0.1615,0.0062
E09000018,Hounslow,0.0070,0.0141,0.0070,0.0000,0.0000,0.0845,0.4225,0.0563
E09000019,Islington,0.0488,0.1057,0.0732,0.0000,0.0081,0.1545,0.0325,0.1789
E09000020,Kensington and Chelsea,0.0874,0.1650,0.1068,0.0000,0.0000,0.0971,0.4369,0.4078
E09000021,Kingston upon Thames,0.0000,0.0102,0.0000,0.0000,0.0000,0.0000,0.0306,0.0204
E09000022,Lambeth,0.0000,0.0449,0.0112,0.0000,0.0225,0.1348,0.0337,0.4438
E09000023,Lewisham,0.0296,0.0592,0.0296,0.0000,0.0059,0.0651,0.3846,0.2130
E09000024,Merton,0.0000,0.0161,0.0000,0.0000,0.0000,0.0161,0.0161,0.0403
E09000025,Newham,0.0244,0.0427,0.0122,0.0000,0.0061,0.1098,1.0000,0.0976
E09000026,Redbridge,0.0000,0.0186,0.0062,0.0000,0.0000,0.0559,0.0745,0.0186
E09000027,Richmond upon Thames,0.0000,0.0000,0.0087,0.0000,0.0000,0.0087,0.0000,0.0000
E09000028,Southwark,0.0301,0.0783,0.0060,0.0000,0.0120,0.1506,0.1867,0.1867
E09000029,Sutton,0.0083,0.0248,0.0248,0.0083,0.0000,0.0000,0.0083,0.0083
E09000030,Tower Hamlets,0.0139,0.1528,0.0069,0.0069,0.0139,0.2153,0.0694,0.1389
E09000031,Waltham Forest,0.0208,0.0694,0.0208,0.0000,0.0000,0.0417,0.4792,0.1667
E09000032,Wandsworth,0.0000,0.0168,0.0000,0.0000,0.0000,0.0335,0.0950,0.0838
E09000033,Westminster,0.0234,0.1094,0.1016,0.0000,0.0078,0.0703,0.0000,0.3750
,,,,,,,,,
,Proportion of LSOAs in most deprived 10% nationally ,,,,,,,,
